date,close
2013-09-25,537.1316
2013-09-26,535.7803
2013-09-27,530.3752
2013-09-30,521.5919
2013-10-08,525.9835
2013-10-09,526.997
2013-10-10,523.9566
2013-10-11,526.3214
2013-10-14,537.8072
2013-10-15,533.4155
2013-10-16,529.0239
2013-10-17,525.9835
2013-10-18,527.3348
2013-10-21,536.7937
2013-10-22,532.4021
2013-10-23,530.3752
2013-10-24,521.2541
2013-10-25,513.8221
2013-10-28,515.5112
2013-10-29,514.1599
2013-10-30,519.2272
2013-10-31,514.1599
2013-11-01,519.485
2013-11-04,514.8983
2013-11-05,513.5309
2013-11-06,510.8959
2013-11-07,511.8598
2013-11-08,503.5055
2013-11-11,504.7908
2013-11-12,509.9319
2013-11-13,513.1451
2013-11-14,513.4664
2013-11-15,509.2893
2013-11-18,511.8598
2013-11-19,519.8928
2013-11-20,520.5354
2013-11-21,516.3583
2013-11-22,517.9649
2013-11-25,517.0009
2013-11-26,520.5354
2013-11-27,517.9649
2013-11-28,519.5714
2013-11-29,519.2501
2013-12-02,523.4273
2013-12-03,522.142
2013-12-04,525.9978
2013-12-05,521.178
2013-12-06,519.8928
2013-12-09,519.8928
2013-12-10,519.8928
2013-12-11,518.2862
2013-12-12,516.6796
2013-12-13,500.6137
2013-12-16,500.2924
2013-12-17,500.6137
2013-12-18,501.8989
2013-12-19,500.2924
2013-12-20,493.5447
2013-12-23,487.1183
2013-12-24,489.3675
2013-12-25,486.797
2013-12-26,485.1904
2013-12-27,485.1904
2013-12-30,477.8001
2013-12-31,468.4819
2014-01-02,467.1966
2014-01-03,458.1997
2014-01-06,454.9865
2014-01-07,453.3799
2014-01-08,453.0586
2014-01-09,440.8485
2014-01-10,444.0617
2014-01-13,440.8485
2014-01-14,446.9535
2014-01-15,445.9896
2014-01-16,444.7043
2014-01-17,441.8125
2014-01-20,432.4942
2014-01-21,431.209
2014-01-22,430.5663
2014-01-23,435.3861
2014-01-24,440.2059
2014-01-27,436.35
2014-01-28,428.3171
2014-01-29,433.1369
2014-01-30,433.7795
2014-02-07,426.3892
2014-02-10,429.9237
2014-02-11,424.4613
2014-02-12,425.4252
2014-02-13,424.14
2014-02-14,422.8547
2014-02-17,435.0648
2014-02-18,429.281
2014-02-19,432.4942
2014-02-20,428.6384
2014-02-21,426.7105
2014-02-24,410.3233
2014-02-25,410.9659
2014-02-26,412.2512
2014-02-27,412.5725
2014-02-28,409.038
2014-03-03,404.2182
2014-03-04,397.7919
2014-03-05,397.7919
2014-03-06,393.2934
2014-03-07,379.7981
2014-03-10,371.7651
2014-03-11,365.0174
2014-03-12,369.1946
2014-03-13,372.6423
2014-03-14,368.2645
2014-03-17,366.9116
2014-03-18,370.3633
2014-03-19,368.2277
2014-03-20,364.2617
2014-03-21,356.0246
